encoding_size	mean_seconds	method	source
10	0.3553493581712246	tmvec1	results
100	3.6675993213430047	tmvec1	results
1000	36.817476138472564	tmvec1	results
5000	183.44600402377543	tmvec1	results
10000	367.46597675606614	tmvec1	results
50000	1867.914070468396	tmvec1	results
10	0.02100241153190533	tmvec2	results
100	0.20721696565548575	tmvec2	results
1000	2.6197565821930766	tmvec2	results
5000	17.30313423803697	tmvec2	results
10000	26.88696222255627	tmvec2	results
50000	146.34414339872697	tmvec2	results
10	0.019774652707080047	tmvec2_student	results
100	0.023594413263102368	tmvec2_student	results
1000	0.19555904436856508	tmvec2_student	results
5000	0.98462836475422	tmvec2_student	results
10000	1.963302403998872	tmvec2_student	results
50000	9.65611858976384	tmvec2_student	results
10	0.014831507578492163	diamond	results
100	0.0169676560908556	diamond	results
1000	0.023335664222637813	diamond	results
5000	0.07531540840864183	diamond	results
10000	0.09469932255645593	diamond	results
50000	0.4001942165195942	diamond	results
10	0.1677913013845682	foldseek_legacy	results
100	0.46974844516565395	foldseek_legacy	results
1000	4.61062142594407	foldseek_legacy	results
5000	42.75606065709144	foldseek_legacy	results
10000	149.34958104820302	foldseek_legacy	results
50000	978.4526033696408	foldseek_legacy	results
